name,province,district,beds_(as_of_2024)[1]
Buriram Hospital,Buriram,Mueang,927
Buddhasothorn Hospital,Chachoengsao,Mueang,652
Chaiyaphum Hospital,Chaiyaphum,Mueang,793
Prapokklao Hospital,Chanthaburi,Mueang,747
Nakornping Hospital,Chiang Mai,Mae Rim,750
Chiangrai Prachanukroh Hospital,Chiang Rai,Mueang,798
Chonburi Hospital,Chonburi,Mueang,866
Khon Kaen Hospital,Khon Kaen,Mueang,1238
Lampang Hospital,Lampang,Mueang,745
Nakhon Pathom Hospital,Nakhon Pathom,Mueang,860
Maharat Nakhon Ratchasima Hospital,Nakhon Ratchasima,Mueang,1478
Sawanpracharak Hospital,Nakhon Sawan,Mueang,749
Maharaj Nakhon Si Thammarat Hospital,Nakhon Si Thammarat,Mueang,866
Phra Nang Klao Hospital,Nonthaburi,Mueang,657
Buddhachinaraj Phitsanulok Hospital,Phitsanulok,Mueang,952
Phra Nakhon Si Ayutthaya Hospital,Phra Nakhon Si Ayutthaya,Mueang,560
Vachira Phuket Hospital,Phuket,Mueang,550
Chaophraya Abhaibhubejhr Hospital,Prachinburi,Mueang,504
Ratchaburi Hospital,Ratchaburi,Mueang,855
Rayong Hospital,Rayong,Mueang,679
Roi Et Hospital,Roi Et,Mueang,881
Sakon Nakhon Hospital,Sakon Nakhon,Mueang,907
Samut Prakan Hospital,Samut Prakan,Mueang,594
Samut Sakhon Hospital,Samut Sakhon,Mueang,693
Saraburi Hospital,Saraburi,Mueang,700
Sisaket Hospital,Sisaket,Mueang,853
Hatyai Hospital,Songkhla,Hat Yai,797
Chao Phraya Yommarat Hospital,Suphan Buri,Mueang,738
Surat Thani Hospital,Surat Thani,Mueang,885
Surin Hospital,Surin,Mueang,914
Trang Hospital,Trang,Mueang,559
Sunpasitthiprasong Hospital,Ubon Ratchathani,Mueang,1188
Udon Thani Hospital,Udon Thani,Mueang,1143
Uttaradit Hospital,Uttaradit,Mueang,655
Yala Hospital,Yala,Mueang,553
Amnat Charoen Hospital,Amnat Charoen,Mueang,444
Ang Thong Hospital,Ang Thong,Mueang,324
Bueng Kan Hospital,Bueng Kan,Mueang,272
Nang Rong Hospital,Buriram,Nang Rong,459
Chai Nat Narenthorn Hospital,Chai Nat,Mueang,367
Phu Khiao Chaloem Phra Kiat Hospital,Chaiyaphum,Phu Khiao,324
Chom Thong Hospital,Chiang Mai,Chom Thong,242
Fang Hospital,Chiang Mai,Fang,232
San Pa Tong Hospital,Chiang Mai,San Pa Tong,196
San Sai Hospital,Chiang Mai,San Sai,234
Mae Sai Hospital,Chiang Rai,Mae Sai,156
Pattaya Bhattamakhun Hospital,Chonburi,Bang Lamung,408
Phanat Nikhom Hospital,Chonburi,Phanat Nikhom,220
Chumphon Khet Udomsak Hospital,Chumphon,Mueang,522
Kalasin Hospital,Kalasin,Mueang,570
Kamphaeng Phet Hospital,Kamphaeng Phet,Mueang,492
Makarak Hospital,Kanchanaburi,Tha Maka,280
Phaholpolpayuhasena Hospital,Kanchanaburi,Mueang,597
Chum Phae Hospital,Khon Kaen,Chum Phae,360
Sirindhorn Hospital,Khon Kaen,Mueang,170
Krabi Hospital,Krabi,Mueang,447
Lamphun Hospital,Lamphun,Mueang,411
Loei Hospital,Loei,Mueang,558
Ban Mi Hospital,Lopburi,Ban Mi,258
King Narai Hospital,Lopburi,Mueang,550
Srisangwan Hospital,Mae Hong Son,Mueang,154
Maha Sarakham Hospital,Maha Sarakham,Mueang,538
