Name,Funding,Specialty,Province
Bang Khun Thian Hospital,Public,Geriatrics,Bangkok
Bangkok Metropolitan Administration General Hospital (Klang Hospital),Public,,Bangkok
Bangkok Metropolitan Administration Lat Krabang Hospital,Public,,Bangkok
Banphaeo Hospital (Prommitr),Public,,Bangkok
Bhumibol Adulyadej Hospital,Public,,Bangkok
Burachat Chaiyakorn Hospital,Public,,Bangkok
Central Correctional Hospital,Public,,Bangkok
Central Women's Correctional Institution Medical Centre,Public,,Bangkok
Charoenkrung Pracharak Hospital,Public,,Bangkok
Chulabhorn Hospital,Public,Oncology,Bangkok
Galaya Rajanakarindra Institute,Public,Psychiatry,Bangkok
"Health Promotion Hospital, 1st Regional Health Promotion Center",Public,,Bangkok
Hospital for Tropical Diseases,Public,Tropical diseases,Bangkok
"Hospital of the Faculty of Dentistry, Chulalongkorn University",Public,Dentistry,Bangkok
Institute of Dermatology,Public,Dermatology,Bangkok
King Chulalongkorn Memorial Hospital,Public,,Bangkok
Lerdsin Hospital,Public,,Bangkok
Luang Pho Taweesak Hospital,Public,,Bangkok
Medical Correctional Institution,Public,,Bangkok
Metropolitan Electricity Authority Hospital,Public,,Bangkok
National Cancer Institute,Public,Oncology,Bangkok
Naval Bangkok Hospital,Public,,Bangkok
Naval Ordnance Hospital,Public,,Bangkok
Nopparat Rajathanee Hospital,Public,,Bangkok
Phramongkutklao Hospital,Public,,Bangkok
Police General Hospital,Public,,Bangkok
Prasarnmit Hospital,Public,,Bangkok
Prasat Neurological Institute,Public,Neurology,Bangkok
Priest Hospital,Public,,Bangkok
Queen Sirikit National Institute of Child Health,Public,Paediatrics,Bangkok
Rajanukul Institute,Public,Psychiatry,Bangkok
Rajavithi Hospital,Public,,Bangkok
Ramathibodi Hospital,Public,,Bangkok
Ramathibodi Chakri Naruebodindra Hospital (Chakri Naruebodindra Medical Institute),Public,,Samut Prakan
Ratchaphiphat Hospital,Public,,Bangkok
Sirindhorn Hospital,Public,,Bangkok
Siriraj Hospital,Public,,Bangkok
Siriraj Piyamaharajkarun Hospital,Public,,Bangkok
Somdet Phra Pinklao Hospital,Public,,Bangkok
Somdet Chaopraya Institute of Psychiatry,Public,Psychiatry,Bangkok
Taksin Hospital,Public,,Bangkok
Thai Red Cross Relief and Public Health Bureau,Public,,Bangkok
Thailand Tobacco Monopoly Hospital,Public,,Bangkok
Vajira Hospital,Public,,Bangkok
Veterans General Hospital,Public,,Bangkok
Wetchakarunrasm Hospital,Public,,Bangkok
Asoke Skin Hospital,Private,,Bangkok
B.Care Medical Center,Private,,Bangkok
Bang Phai Hospital,Private,,Bangkok
Bangkhunthian Health Center,Private,,Bangkok
Bangkok Adventist Hospital,Private,,Bangkok
Bangkok Cancer Center Hospital,Private,,Bangkok
Bangkok Christian Hospital,Private,,Bangkok
Bangkok Heart Hospital,Private,,Bangkok
Bangkok Hospital,Private,,Bangkok
Bangkok International Hospital,Private,,Bangkok
Bangmod 3 Hospital,Private,,Bangkok
Bangmod Hospital,Private,,Bangkok
Bangna General Hospital,Private,,Bangkok
Bangpakok 1 Hospital,Private,,Bangkok
Bangpakok 2 Hospital,Private,,Bangkok
Bangpakok 8 Hospital,Private,,Bangkok
Bangpakok 9 International Hospital,Private,,Bangkok
Bangpo General Hospital,Private,,Bangkok
Better Being Hospital,Private,,Bangkok
Bhumirajanakarindra Kidney Institute Hospital,Private,,Bangkok
BNH Hospital,Private,,Bangkok
Bumrungrad International Hospital,Private,,Bangkok
Camillian Hospital,Private,,Bangkok
Central General Hospital,Private,,Bangkok
Chaophya Hospital,Private,,Bangkok
Chinkate Medical Center and Nursing Home,Private,,Bangkok
Decha Hospital,Private,,Bangkok
Dr. Panya General Hospital,Private,,Bangkok
Eye Ear Nose Throat Hospital,Private,,Bangkok
Golden Years Hospital,Private,,Bangkok
Hua Chiew Hospital,Private,,Bangkok
Jetanin Institute for Assisted Reproduction,Private,,Bangkok
Kasemrad Hospital Bangkae,Private,,Bangkok
Kasemrad Hospital Prachachuen,Private,,Bangkok
Kasemrad Hospital Sukhapibal 3,Private,,Bangkok
Klongtun Medical Center,Private,,Bangkok
Kluaynamthai 2 Nursing Home,Private,,Bangkok
Kluaynamthai Hospital,Private,,Bangkok
Krungdhon 1 Hospital,Private,,Bangkok
Krungdhon 2 Hospital,Private,,Bangkok
Kwongsiew Foundation Hospital,Private,,Bangkok
Kamol Cosmetic Hospital,Private,Cosmetic,Bangkok
Karunapitak Hospital,Private,,Bangkok
Ladprao General Hospital,Private,,Bangkok
Mahesak Hospital,Private,,Bangkok
Manarom Hospital,Private,,Bangkok
Mayo Hospital (Thailand),Private,,Bangkok
Mongkutwattana General Hospital,Private,,Bangkok
Nakornthon Hospital,Private,,Bangkok
Nan-ah Polyclinic,Private,,Bangkok
Navaminthra 9 Hospital,Private,,Bangkok
Navaminthra Hospital,Private,,Bangkok
Navasri Nursing Home Hospital,Private,,Bangkok
Nawamin 2 Hospital,Private,,Bangkok
Paolo Memorial Hospital Chokchai 4,Private,,Bangkok
Paolo Memorial Hospital Nawamin,Private,,Bangkok
Paolo Memorial Hospital Phaholyothin,Private,,Bangkok
Passarapiban Nursing Home,Private,,Bangkok
Petchakasem 2 Hospital,Private,,Bangkok
Petcharavej Hospital,Private,,Bangkok
Phyathai 1 Hospital,Private,,Bangkok
Phyathai 2 Hospital,Private,,Bangkok
Phyathai 3 Hospital,Private,,Bangkok
Piyavate Hospital,Private,,Bangkok
Praram 2 Hospital,Private,,Bangkok
Praram 9 Hospital,Private,,Bangkok
Rajburana Hospital,Private,,Bangkok
Ramkhamhaeng Hospital,Private,,Bangkok
Ratchada-Tha Phra Health Centre,Private,,Bangkok
Rutnin Eye Hospital,Private,,Bangkok
Saimai Hospital,Private,,Bangkok
Saint Louis Hospital,Private,,Bangkok
Samitivej Srinakarin Hospital,Private,,Bangkok
Samitivej Sukhumvit Hospital,Private,,Bangkok
Seriruk Hospital,Private,,Bangkok
Sikarin Hospital,Private,,Bangkok
Srivichai 2 Hospital,Private,,Bangkok
Srivichai Hospital,Private,,Bangkok
Sukavet Nursing Home,Private,,Bangkok
Sukhumvit Hospital,Private,,Bangkok
Sutthisan Hospital,Private,,Bangkok
Synphaet Hospital,Private,,Bangkok
Thai Eye Center,Private,,Bangkok
Thainakarin Hospital,Private,,Bangkok
The Senior Health Care,Private,,Bangkok
The Senior Health Care Ratchadaphisek,Private,,Bangkok
Theptarin Hospital,Private,,Bangkok
Thian Fah Foundation Hospital,Private,,Bangkok
Thonburi Hospital,Private,,Bangkok
Thonburi 2 Hospital,Private,,Bangkok
Vejthani Hospital,Private,,Bangkok
Vibharam Hospital,Private,,Bangkok
Vibhavadi Hospital,Private,,Bangkok
Vichaiyut Chronic Care Centre,Private,,Bangkok
Vichaiyut Hospital,Private,,Bangkok
Vichaiyut Medical Center,Private,,Bangkok
Wattanosoth Cancer hospital,Private,,Bangkok
Yanhee Hospital,Private,,Bangkok
Yaowarak Hospital,Private,,Bangkok
Yotse Hospital,Private,,Bangkok
Amnat Charoen Hospital,Public,,Amnat Charoen
Chanuman Hospital,Public,,Amnat Charoen
Hua Taphan Hospital,Public,,Amnat Charoen
Lue Amnat Hospital,Public,,Amnat Charoen
Pathum Ratchawongsa Hospital,Public,,Amnat Charoen
Phana Hospital,Public,,Amnat Charoen
Senangkhanikhom Hospital,Public,,Amnat Charoen
Ang Thong Hospital,Public,,Ang Thong
Chaiyo Hospital,Public,,Ang Thong
Pa Mok Hospital,Public,,Ang Thong
Pho Thong Hospital,Public,,Ang Thong
Sam Ko Hospital,Public,,Ang Thong
Sawaeng Ha Hospital,Public,,Ang Thong
Wiset Chai Chan Hospital,Public,,Ang Thong
Ang Thong Wetchakan Hospital,Private,,Ang Thong
Phra Nakhon Si Ayutthaya Hospital,Public,,Ayutthaya
Ban Phraek Hospital,Public,,Ayutthaya
Bang Ban Hospital,Public,,Ayutthaya
Bang Pahan Hospital,Public,,Ayutthaya
Bang Pa-in Hospital,Public,,Ayutthaya
Bang Sai Hospital,Public,,Ayutthaya
Bang Sai Hospital,Public,,Ayutthaya
Explosives Factory Division Medical Center,Public,,Ayutthaya
Lat Bua Luang Hospital,Public,,Ayutthaya
Maha Rat Hospital,Public,,Ayutthaya
Phachi Hospital,Public,,Ayutthaya
Phak Hai Hospital,Public,,Ayutthaya
Sena Hospital,Public,,Ayutthaya
Somdet Phra Sangkharat Wassanamahatayra (Nakhon Luang) Hospital,Public,,Ayutthaya
Tha Ruea Hospital,Public,,Ayutthaya
Uthai Hospital,Public,,Ayutthaya
Wang Noi Hospital,Public,,Ayutthaya
Navanakorn Ayutthaya Hospital,Private,,Ayutthaya
NC Wellness & Medical Spa,Private,,Ayutthaya
Peravech Hospital,Private,,Ayutthaya
Rajthanee Hospital,Private,,Ayutthaya
Supamitr Sena Hospital,Private,,Ayutthaya
Bueng Kan Hospital,Public,,Bueng Kan
Bueng Khong Long Hospital,Public,,Bueng Kan
Bung Khla Hospital,Public,,Bueng Kan
Pak Khat Hospital,Public,,Bueng Kan
Phon Charoen Hospital,Public,,Bueng Kan
Seka Hospital,Public,,Bueng Kan
Si Wilai Hospital,Public,,Bueng Kan
So Phisai Hospital,Public,,Bueng Kan
Ban Dan Hospital,Public,,Buriram
Ban Kruat Hospital,Public,,Buriram
Ban Mai Chaiyaphot Hospital,Public,,Buriram
Buriram Hospital,Public,,Buriram
Chaloem Phrakiat Hospital,Public,,Buriram
Chamni Hospital,Public,,Buriram
Fort Somdetchaophrayamahakasatsuek Hospital,Public,,Buriram
Huai Rat Hospital,Public,,Buriram
Khaen Dong Hospital,Public,,Buriram
Khu Mueang Hospital,Public,,Buriram
Krasang Hospital,Public,,Buriram
Lahan Sai Hospital,Public,,Buriram
Lam Plai Mat Hospital,Public,,Buriram
Nang Rong Hospital,Public,,Buriram
Na Pho Hospital,Public,,Buriram
Non Din Daeng Hospital,Public,,Buriram
Non Suwan Hospital,Public,,Buriram
Nong Hong Hospital,Public,,Buriram
Nong Ki Hospital,Public,,Buriram
Pakham Hospital,Public,,Buriram
Phlapphla Chai Hospital,Public,,Buriram
Phutthaisong Hospital,Public,,Buriram
Prakhon Chai Hospital,Public,,Buriram
Satuek Hospital,Public,,Buriram
Dr. Surachet Hospital,Private,,Buriram
Ekachon Buriram Hospital,Private,,Buriram
Ban Pho Hospital,Public,,Chachoengsao
Bang Khla Hospital,Public,,Chachoengsao
Bang Nam Priao Hospital,Public,,Chachoengsao
Bang Pakong Hospital,Public,,Chachoengsao
Buddhasothorn Hospital,Public,,Chachoengsao
Khlong Khuean Hospital,Public,,Chachoengsao
Phanom Sarakham Hospital,Public,,Chachoengsao
Plaeng Yao Hospital,Public,,Chachoengsao
Ratchasan Hospital,Public,,Chachoengsao
Sanam Chai Khet Hospital,Public,,Chachoengsao
Tha Takiap Hospital,Public,,Chachoengsao
Chularat 11 Hospital,Private,,Chachoengsao
Sotaravej Hospital,Private,,Chachoengsao
Chainat Narenthorn Hospital,Public,,Chainat
Han Kha Hospital,Public,,Chainat
Manorom Hospital,Public,,Chainat
Noen Kham Hospital,Public,,Chainat
Nong Mamong Hospital,Public,,Chainat
Sankhaburi Hospital,Public,,Chainat
Sapphaya Hospital,Public,,Chainat
Wat Sing Hospital,Public,,Chainat
Rhuampath Chainat Hospital,Private,,Chainat
Bamnet Narong Hospital,Public,,Chaiyaphum
Ban Khwao Hospital,Public,,Chaiyaphum
Ban Thaen Hospital,Public,,Chaiyaphum
Chaiyaphum Hospital,Public,,Chaiyaphum
Chatturat Hospital,Public,,Chaiyaphum
Kaeng Khro Hospital,Public,,Chaiyaphum
Kaset Sombun Hospital,Public,,Chaiyaphum
Khon San Hospital,Public,,Chaiyaphum
Khon Sawan Hospital,Public,,Chaiyaphum
Noen Sa-nga Hospital,Public,,Chaiyaphum
Nong Bua Daeng Hospital,Public,,Chaiyaphum
Nong Bua Rawe Hospital,Public,,Chaiyaphum
Phakdi Chumphon Hospital,Public,,Chaiyaphum
Phu Khiao Chaloem Phra Kiat Hospital,Public,,Chaiyaphum
Thep Sathit Hospital,Public,,Chaiyaphum
Chaiyaphum Ram Hospital,Private,,Chaiyaphum
Chaiyaphum Ruamphart Hospital,Private,,Chaiyaphum
