name,province,district,beds (2024),funding,specialty
Abhakara Kiartivongse Hospital,Chonburi,,,Public,
Aek Udon International Hospital,Udon Thani,,,Private,
Aikchol 2 Hospital,Chonburi,,,Private,
Aikchol Hospital,Chonburi,,,Private,
Akat Amnuai Hospital,Sakon Nakhon,Akat Amnuai,82,Public,
Akhom Clinic,Sukhothai,,,Private,
Amnat Charoen Hospital,Amnat Charoen,Mueang,444,Public,
Amphawa Hospital,Samut Songkhram,Amphawa,33,Public,
Anan Phatthana 2 Hospital,Nonthaburi,,,Private,
Anandamahidol Hospital,Lopburi,,,Public,
Andaman Ranong Medical,Ranong,,,Private,
Ang Thong Hospital,Ang Thong,Mueang,324,Public,
Ang Thong Wetchakan Hospital,Ang Thong,,,Private,
Ao Luek Hospital,Krabi,Ao Luek,85,Public,
Apinop Health Center,Saraburi,,,Private,
Aranyaprathet Hospital,Sa Kaeo,Aranyaprathet,260,Public,
Asoke Skin Hospital,Bangkok,,,Private,
At Samat Hospital,Roi Et,At Samat,39,Public,
B.Care Medical Center,Bangkok,,,Private,
BNH Hospital,Bangkok,,,Private,
Ba Cho Hospital,Narathiwat,,,Public,
Bacho Hospital,Narathiwat,Bacho,68,Public,
Bamnet Narong Hospital,Chaiyaphum,Bamnet Narong,64,Public,
Bamrasnaradura Infectious Diseases Institute,Nonthaburi,,,Public,Infectious diseases
Ban Bueng Hospital,Chonburi,Ban Bueng,170,Public,
Ban Chang Hospital,Rayong,Ban Chang,75,Public,
Ban Dan Hospital,Buriram,Ban Dan,63,Public,
Ban Dan Lan Hoi Hospital,Sukhothai,Ban Dan Lan Hoi,35,Public,
Ban Don Inter Hospital,Surat Thani,,,Private,
Ban Dung Crown Prince Hospital,Udon Thani,Ban Dung,139,Public,
Ban Fang Hospital,Khon Kaen,Ban Fang,30,Public,
Ban Hong Hospital,Lamphun,Ban Hong,30,Public,
Ban Kha Hospital,Ratchaburi,Ban Kha,30,Public,
Ban Khai Hospital,Rayong,Ban Khai,48,Public,
Ban Khok Hospital,Uttaradit,Ban Khok,31,Public,
Ban Khwao Hospital,Chaiyaphum,Ban Khwao,36,Public,
Ban Kruat Hospital,Buriram,Ban Kruat,63,Public,
Ban Laem Hospital,Phetchaburi,Ban Laem,37,Public,
Ban Lat Hospital,Phetchaburi,Ban Lat,32,Public,
Ban Luang Hospital,Nan,Ban Luang,33,Public,
Ban Lueam Hospital,Nakhon Ratchasima,Ban Lueam,35,Public,
Ban Mai Chaiyaphot Hospital,Buriram,Ban Mai Chaiyaphot,30,Public,
Ban Mi Hospital,Lopburi,Ban Mi,258,Public,
Ban Mo Hospital,Saraburi,Ban Mo,30,Public,
Ban Muang Hospital,Sakon Nakhon,Ban Muang,82,Public,
Ban Na Doem Hospital,Surat Thani,Ban Na Doem,30,,
Ban Na Doem Hospital,Surat?Thani,,,Public,
Ban Na Hospital,Nakhon Nayok,Ban Na,70,Public,
Ban Na San Hospital,Surat Thani,Ban Na San,65,Public,
Ban Phaeng Hospital,Nakhon Phanom,Ban Phaeng,43,Public,
Ban Phaeo Hospital,Samut Sakhon,,,Public,
Ban Phai Hospital,Khon Kaen,Ban Phai,142,Public,
